cell, t, row, column, v_row, v_column, region
4,0,245,744,0,0,1
4,1,242,742,-3,-2,1
4,2,231,742,-11,0,1
4,3,229,741,-2,-1,1
4,4,231,743,2,2,1
4,5,224,758,-7,15,1
4,6,228,760,4,2,1
4,7,224,765,-4,5,1
4,8,224,769,0,4,1
4,9,215,776,-9,7,1
4,10,215,770,0,-6,1
4,11,216,767,1,-3,1
4,12,214,770,-2,3,1
4,13,216,774,2,4,1
4,14,216,774,0,0,1
4,15,214,775,-2,1,1
4,16,213,771,-1,-4,1
4,17,211,768,-2,-3,1
4,18,213,768,2,0,1
4,19,211,772,-2,4,1
4,20,214,772,3,0,1
4,21,215,773,1,1,1
4,22,215,775,0,2,1
4,23,215,776,0,1,1
4,24,212,782,-3,6,1
4,25,215,791,3,9,1
4,26,219,793,4,2,1
4,27,223,792,4,-1,1
4,28,234,820,11,28,1
4,29,231,820,-3,0,1
4,30,229,818,-2,-2,1
4,31,236,831,7,13,1
4,32,234,829,-2,-2,1
4,33,244,834,10,5,1
4,34,265,851,21,17,1
5,0,302,702,0,0,1
5,1,305,713,3,11,1
5,2,303,714,-2,1,1
5,3,308,709,5,-5,1
5,4,310,704,2,-5,1
5,5,300,705,-10,1,1
5,6,312,700,12,-5,1
5,7,323,698,11,-2,1
5,8,317,694,-6,-4,1
5,9,307,694,-10,0,1
5,10,305,698,-2,4,1
5,11,316,702,11,4,1
5,12,323,707,7,5,1
5,13,318,715,-5,8,1
5,14,316,714,-2,-1,1
5,15,314,715,-2,1,1
5,16,325,700,11,-15,1
5,17,336,691,11,-9,1
5,18,340,689,4,-2,1
5,19,350,681,10,-8,1
5,20,349,691,-1,10,1
5,21,351,711,2,20,1
5,22,348,721,-3,10,1
5,23,349,727,1,6,1
5,24,344,728,-5,1,1
5,25,337,741,-7,13,1
5,26,335,757,-2,16,1
5,27,326,777,-9,20,1
5,28,321,786,-5,9,1
5,29,328,786,7,0,1
5,30,332,791,4,5,1
5,31,326,793,-6,2,1
5,32,329,799,3,6,1
5,33,318,820,-11,21,1
5,34,324,820,6,0,1
5,35,325,825,1,5,1
5,36,325,829,0,4,1
5,37,334,834,9,5,1
5,38,337,828,3,-6,1
5,39,343,817,6,-11,1
5,40,349,812,6,-5,1
5,41,340,824,-9,12,1
5,42,367,807,27,-17,1
5,43,368,819,1,12,1
5,44,378,816,10,-3,1
5,45,384,807,6,-9,1
5,46,389,806,5,-1,1
5,47,386,807,-3,1,1
5,48,378,814,-8,7,1
5,49,381,809,3,-5,1
5,50,376,814,-5,5,1
5,51,381,805,5,-9,1
5,52,375,812,-6,7,1
5,53,372,817,-3,5,1
5,54,368,828,-4,11,1
5,55,370,832,2,4,1
5,56,374,828,4,-4,1
5,57,368,837,-6,9,1
5,58,366,833,-2,-4,1
5,59,359,836,-7,3,1
5,60,364,831,5,-5,1
5,61,373,820,9,-11,1
5,62,378,812,5,-8,1
5,63,382,804,4,-8,1
5,64,380,791,-2,-13,1
5,65,373,804,-7,13,1
5,66,377,799,4,-5,1
5,67,376,798,-1,-1,1
5,68,370,795,-6,-3,1
5,69,370,795,0,0,1
5,70,375,789,5,-6,1
5,71,380,788,5,-1,1
5,72,379,785,-1,-3,1
5,73,391,773,12,-12,1
5,74,401,766,10,-7,1
5,75,397,773,-4,7,1
5,76,401,775,4,2,1
5,77,413,761,12,-14,1
5,78,422,764,9,3,1
5,79,421,759,-1,-5,1
5,80,420,750,-1,-9,1
5,81,426,749,6,-1,1
5,82,426,751,0,2,1
5,83,449,747,23,-4,1
