cell, t, row, column, v_row, v_column, region
1,0,154,1000,0,0,1
1,1,156,996,2,-4,1
1,2,150,1005,-6,9,1
1,3,147,1007,-3,2,1
1,4,154,1004,7,-3,1
1,5,154,999,0,-5,1
1,6,154,999,0,0,1
1,7,154,999,0,0,1
1,8,147,1001,-7,2,1
1,9,142,1008,-5,7,1
1,10,136,1009,-6,1,1
1,11,124,1009,-12,0,1
1,12,131,1010,7,1,1
1,13,130,1009,-1,-1,1
1,14,122,1009,-8,0,1
1,15,122,1010,0,1,1
1,16,119,1013,-3,3,1
1,17,112,1009,-7,-4,1
1,18,111,1008,-1,-1,1
1,19,104,1010,-7,2,1
1,20,103,1016,-1,6,1
1,21,106,1016,3,0,1
1,22,98,1020,-8,4,1
1,23,89,1017,-9,-3,1
1,24,86,1021,-3,4,1
2,0,162,966,0,0,1
2,1,132,964,-30,-2,1
2,2,145,973,13,9,1
2,3,148,971,3,-2,1
2,4,148,971,0,0,1
2,5,151,974,3,3,1
2,6,151,974,0,0,1
2,7,153,966,2,-8,1
2,8,153,966,0,0,1
2,9,159,975,6,9,1
2,10,159,975,0,0,1
2,11,166,981,7,6,1
2,12,166,981,0,0,1
2,13,151,995,-15,14,1
2,14,148,992,-3,-3,1
2,15,144,985,-4,-7,1
2,16,140,979,-4,-6,1
2,17,133,977,-7,-2,1
2,18,128,984,-5,7,1
2,19,115,988,-13,4,1
2,20,116,990,1,2,1
2,21,104,997,-12,7,1
2,22,101,997,-3,0,1
2,23,97,992,-4,-5,1
2,24,91,992,-6,0,1
2,25,78,993,-13,1,1
2,26,77,995,-1,2,1
2,27,80,1000,3,5,1
2,28,100,991,20,-9,1
2,29,99,994,-1,3,1
2,30,97,1001,-2,7,1
2,31,97,1005,0,4,1
2,32,99,1009,2,4,1
2,33,111,1013,12,4,1
2,34,113,1011,2,-2,1
2,35,111,1015,-2,4,1
2,36,117,1017,6,2,1
2,37,115,1016,-2,-1,1
2,38,117,1016,2,0,1
2,39,117,1017,0,1,1
2,40,117,1017,0,0,1
2,41,115,1016,-2,-1,1
2,42,108,1016,-7,0,1
2,43,111,1015,3,-1,1
2,44,111,1017,0,2,1
2,45,111,1013,0,-4,1
2,46,109,999,-2,-14,1
2,47,119,993,10,-6,1
2,48,119,988,0,-5,1
2,49,113,990,-6,2,1
2,50,114,991,1,1,1
2,51,119,991,5,0,1
2,52,121,990,2,-1,1
2,53,116,985,-5,-5,1
2,54,98,986,-18,1,1
2,55,93,985,-5,-1,1
2,56,88,989,-5,4,1
2,57,83,990,-5,1,1
2,58,83,985,0,-5,1
2,59,87,974,4,-11,1
2,60,100,977,13,3,1
2,61,104,976,4,-1,1
2,62,110,972,6,-4,1
2,63,108,970,-2,-2,1
2,64,108,974,0,4,1
2,65,104,980,-4,6,1
2,66,109,980,5,0,1
2,67,116,980,7,0,1
2,68,117,974,1,-6,1
2,69,118,974,1,0,1
2,70,118,974,0,0,1
2,71,118,974,0,0,1
2,72,113,976,-5,2,1
2,73,121,973,8,-3,1
2,74,152,943,31,-30,1
2,75,177,925,25,-18,1
2,76,201,899,24,-26,1
2,77,204,883,3,-16,1
2,78,198,885,-6,2,1
2,79,208,884,10,-1,1
2,80,201,883,-7,-1,1
2,81,202,883,1,0,1
2,82,205,882,3,-1,1
2,83,202,882,-3,0,1
2,84,203,890,1,8,1
2,85,200,903,-3,13,1
2,86,199,906,-1,3,1
2,87,190,909,-9,3,1
2,88,193,909,3,0,1
2,89,198,906,5,-3,1
2,90,208,901,10,-5,1
2,91,219,894,11,-7,1
2,92,219,893,0,-1,1
2,93,222,893,3,0,1
2,94,227,904,5,11,1
2,95,233,911,6,7,1
2,96,230,912,-3,1,1
2,97,236,910,6,-2,1
2,98,237,907,1,-3,1
2,99,235,907,-2,0,1
2,100,241,905,6,-2,1
2,101,241,905,0,0,1
2,102,245,903,4,-2,1
2,103,239,908,-6,5,1
2,104,238,908,-1,0,1
2,105,239,907,1,-1,1
2,106,243,916,4,9,1
2,107,240,921,-3,5,1
2,108,240,925,0,4,1
2,109,243,927,3,2,1
2,110,240,928,-3,1,1
2,111,254,920,14,-8,1
2,112,249,922,-5,2,1
2,113,249,926,0,4,1
2,114,252,926,3,0,1
2,115,243,925,-9,-1,1
2,116,260,909,17,-16,1
2,117,275,913,15,4,1
3,0,444,979,0,0,1
3,1,443,979,-1,0,1
3,2,442,979,-1,0,1
3,3,438,982,-4,3,1
3,4,436,984,-2,2,1
3,5,444,985,8,1,1
3,6,450,992,6,7,1
3,7,460,992,10,0,1
3,8,459,978,-1,-14,1
3,9,461,983,2,5,1
3,10,462,979,1,-4,1
3,11,466,982,4,3,1
3,12,464,984,-2,2,1
3,13,466,986,2,2,1
3,14,467,983,1,-3,1
3,15,467,986,0,3,1
3,16,468,984,1,-2,1
3,17,465,986,-3,2,1
3,18,471,981,6,-5,1
3,19,473,981,2,0,1
3,20,475,979,2,-2,1
3,21,478,976,3,-3,1
3,22,479,976,1,0,1
3,23,481,976,2,0,1
3,24,493,959,12,-17,1
3,25,509,950,16,-9,1
4,0,338,962,0,0,1
4,1,342,959,4,-3,1
4,2,342,963,0,4,1
4,3,331,967,-11,4,1
4,4,337,964,6,-3,1
4,5,336,962,-1,-2,1
4,6,342,964,6,2,1
4,7,354,967,12,3,1
4,8,362,966,8,-1,1
4,9,355,969,-7,3,1
4,10,347,967,-8,-2,1
4,11,339,983,-8,16,1
4,12,348,996,9,13,1
4,13,350,990,2,-6,1
4,14,349,986,-1,-4,1
4,15,345,986,-4,0,1
4,16,333,983,-12,-3,1
4,17,307,992,-26,9,1
4,18,316,1003,9,11,1
4,19,325,1015,9,12,1
4,20,323,1019,-2,4,1
4,21,303,1017,-20,-2,1
4,22,276,1017,-27,0,1
4,23,264,1014,-12,-3,1
4,24,271,1018,7,4,1
4,25,276,1020,5,2,1
4,26,284,1020,8,0,1
5,0,377,919,0,0,1
5,1,378,922,1,3,1
5,2,376,922,-2,0,1
5,3,380,922,4,0,1
5,4,383,919,3,-3,1
5,5,380,916,-3,-3,1
5,6,383,910,3,-6,1
5,7,391,894,8,-16,1
5,8,393,883,2,-11,1
5,9,404,886,11,3,1
5,10,424,892,20,6,1
5,11,422,897,-2,5,1
5,12,428,896,6,-1,1
5,13,439,888,11,-8,1
5,14,450,877,11,-11,1
5,15,464,875,14,-2,1
5,16,468,865,4,-10,1
5,17,477,867,9,2,1
5,18,482,865,5,-2,1
5,19,482,864,0,-1,1
5,20,489,861,7,-3,1
5,21,489,861,0,0,1
5,22,491,859,2,-2,1
5,23,494,857,3,-2,1
5,24,498,855,4,-2,1
5,25,499,858,1,3,1
5,26,502,864,3,6,1
5,27,502,869,0,5,1
5,28,506,863,4,-6,1
5,29,503,853,-3,-10,1
5,30,506,850,3,-3,1
5,31,510,852,4,2,1
5,32,503,857,-7,5,1
5,33,495,883,-8,26,1
5,34,500,883,5,0,1
5,35,503,876,3,-7,1
5,36,496,873,-7,-3,1
5,37,503,877,7,4,1
5,38,503,881,0,4,1
5,39,505,879,2,-2,1
5,40,505,880,0,1,1
5,41,503,879,-2,-1,1
5,42,497,869,-6,-10,1
5,43,496,857,-1,-12,1
5,44,496,852,0,-5,1
5,45,496,843,0,-9,1
5,46,501,846,5,3,1
5,47,502,847,1,1,1
5,48,502,846,0,-1,1
5,49,503,836,1,-10,1
5,50,488,843,-15,7,1
5,51,488,851,0,8,1
5,52,490,844,2,-7,1
5,53,494,843,4,-1,1
5,54,498,844,4,1,1
5,55,501,844,3,0,1
5,56,503,843,2,-1,1
5,57,504,843,1,0,1
5,58,503,843,-1,0,1
5,59,502,842,-1,-1,1
5,60,503,840,1,-2,1
5,61,503,840,0,0,1
5,62,496,848,-7,8,1
5,63,501,845,5,-3,1
5,64,501,845,0,0,1
5,65,501,843,0,-2,1
6,0,342,821,0,0,1
6,1,346,820,4,-1,1
6,2,338,818,-8,-2,1
6,3,339,819,1,1,1
6,4,332,809,-7,-10,1
6,5,324,807,-8,-2,1
6,6,314,816,-10,9,1
6,7,318,809,4,-7,1
6,8,315,810,-3,1,1
6,9,315,808,0,-2,1
6,10,322,809,7,1,1
6,11,324,805,2,-4,1
6,12,320,805,-4,0,1
6,13,308,804,-12,-1,1
6,14,320,805,12,1,1
6,15,317,807,-3,2,1
6,16,317,811,0,4,1
6,17,318,806,1,-5,1
6,18,318,804,0,-2,1
6,19,319,806,1,2,1
6,20,321,800,2,-6,1
6,21,319,799,-2,-1,1
6,22,318,794,-1,-5,1
6,23,318,793,0,-1,1
6,24,312,795,-6,2,1
6,25,310,795,-2,0,1
6,26,312,803,2,8,1
6,27,315,793,3,-10,1
6,28,316,787,1,-6,1
6,29,315,788,-1,1,1
6,30,317,791,2,3,1
