cell, t, row, column, v_row, v_column, region
1,0,455,503,0,0,1
1,1,459,502,4,-1,1
1,2,461,503,2,1,1
1,3,468,499,7,-4,1
1,4,466,501,-2,2,1
1,5,463,501,-3,0,1
1,6,464,504,1,3,1
2,0,434,428,0,0,1
2,1,436,428,2,0,1
2,2,432,421,-4,-7,1
2,3,436,415,4,-6,1
2,4,432,422,-4,7,1
2,5,436,423,4,1,1
2,6,436,417,0,-6,1
2,7,429,419,-7,2,1
2,8,436,419,7,0,1
2,9,435,424,-1,5,1
2,10,433,429,-2,5,1
2,11,438,424,5,-5,1
2,12,438,420,0,-4,1
2,13,437,412,-1,-8,1
2,14,444,421,7,9,1
2,15,443,423,-1,2,1
2,16,442,423,-1,0,1
2,17,432,427,-10,4,1
2,18,435,429,3,2,1
2,19,433,433,-2,4,1
2,20,431,434,-2,1,1
2,21,423,434,-8,0,1
2,22,417,440,-6,6,1
2,23,416,442,-1,2,1
2,24,415,444,-1,2,1
2,25,413,448,-2,4,1
2,26,417,443,4,-5,1
2,27,417,442,0,-1,1
2,28,418,441,1,-1,1
2,29,423,447,5,6,1
2,30,419,445,-4,-2,1
2,31,420,439,1,-6,1
2,32,423,435,3,-4,1
2,33,428,431,5,-4,1
2,34,436,430,8,-1,1
2,35,439,424,3,-6,1
2,36,446,424,7,0,1
2,37,446,427,0,3,1
2,38,436,432,-10,5,1
2,39,438,436,2,4,1
2,40,437,438,-1,2,1
2,41,437,437,0,-1,1
2,42,440,437,3,0,1
2,43,440,434,0,-3,1
2,44,448,416,8,-18,1
2,45,444,422,-4,6,1
2,46,449,423,5,1,1
2,47,453,427,4,4,2
2,48,449,423,-4,-4,2
2,49,450,430,1,7,2
2,50,446,434,-4,4,2
2,51,451,433,5,-1,2
2,52,447,436,-4,3,2
2,53,443,430,-4,-6,2
2,54,446,426,3,-4,2
2,55,443,423,-3,-3,2
2,56,450,422,7,-1,2
2,57,453,429,3,7,2
2,58,445,435,-8,6,2
2,59,440,439,-5,4,2
2,60,444,437,4,-2,2
2,61,442,435,-2,-2,2
2,62,444,438,2,3,2
2,63,445,440,1,2,2
2,64,446,437,1,-3,2
2,65,446,435,0,-2,2
2,66,444,435,-2,0,2
2,67,443,434,-1,-1,1
2,68,443,434,0,0,1
2,69,442,435,-1,1,1
2,70,443,432,1,-3,1
2,71,445,431,2,-1,1
2,72,443,433,-2,2,1
2,73,443,437,0,4,1
2,74,443,439,0,2,1
3,0,451,357,0,0,1
3,1,451,357,0,0,1
3,2,450,354,-1,-3,1
3,3,444,344,-6,-10,1
3,4,440,349,-4,5,1
3,5,432,350,-8,1,1
3,6,431,345,-1,-5,1
3,7,443,348,12,3,1
3,8,450,347,7,-1,1
3,9,449,348,-1,1,1
3,10,449,347,0,-1,1
3,11,440,344,-9,-3,1
3,12,422,342,-18,-2,1
3,13,417,341,-5,-1,1
3,14,396,331,-21,-10,1
3,15,394,326,-2,-5,1
3,16,394,323,0,-3,1
3,17,397,326,3,3,1
3,18,387,320,-10,-6,1
3,19,391,297,4,-23,1
3,20,397,295,6,-2,1
3,21,407,291,10,-4,1
3,22,407,294,0,3,1
3,23,403,294,-4,0,1
3,24,397,290,-6,-4,1
3,25,396,291,-1,1,1
3,26,399,295,3,4,1
3,27,410,295,11,0,1
3,28,407,318,-3,23,1
3,29,411,325,4,7,1
3,30,425,330,14,5,1
3,31,431,325,6,-5,1
3,32,440,321,9,-4,1
3,33,439,324,-1,3,1
3,34,440,332,1,8,1
3,35,444,333,4,1,1
3,36,434,373,-10,40,1
3,37,426,374,-8,1,1
3,38,413,381,-13,7,1
3,39,402,384,-11,3,1
3,40,404,386,2,2,1
3,41,388,403,-16,17,1
3,42,378,406,-10,3,1
3,43,397,446,19,40,1
3,44,402,447,5,1,1
3,45,406,452,4,5,1
3,46,413,454,7,2,1
3,47,418,456,5,2,2
3,48,417,458,-1,2,2
3,49,404,458,-13,0,2
3,50,410,458,6,0,2
3,51,414,461,4,3,2
3,52,414,458,0,-3,2
3,53,417,457,3,-1,2
3,54,417,459,0,2,2
3,55,419,460,2,1,2
3,56,419,460,0,0,2
3,57,420,462,1,2,2
3,58,420,461,0,-1,2
3,59,419,460,-1,-1,2
3,60,418,459,-1,-1,2
3,61,418,459,0,0,2
3,62,420,461,2,2,2
3,63,420,461,0,0,2
3,64,420,461,0,0,2
3,65,420,461,0,0,2
3,66,419,458,-1,-3,2
3,67,418,457,-1,-1,1
3,68,421,461,3,4,1
3,69,422,463,1,2,1
3,70,421,464,-1,1,1
3,71,418,464,-3,0,1
3,72,409,467,-9,3,1
3,73,408,465,-1,-2,1
4,0,480,343,0,0,1
4,1,484,346,4,3,1
4,2,484,332,0,-14,1
4,3,482,332,-2,0,1
4,4,476,335,-6,3,1
4,5,476,333,0,-2,1
4,6,473,332,-3,-1,1
4,7,477,326,4,-6,1
4,8,476,326,-1,0,1
4,9,476,330,0,4,1
4,10,477,333,1,3,1
4,11,463,332,-14,-1,1
4,12,460,334,-3,2,1
4,13,454,334,-6,0,1
4,14,453,336,-1,2,1
4,15,457,337,4,1,1
4,16,461,332,4,-5,1
4,17,472,325,11,-7,1
4,18,475,324,3,-1,1
4,19,480,326,5,2,1
4,20,489,328,9,2,1
4,21,486,326,-3,-2,1
4,22,493,323,7,-3,1
4,23,500,313,7,-10,1
4,24,503,310,3,-3,1
4,25,503,307,0,-3,1
5,0,476,288,0,0,1
5,1,483,282,7,-6,1
5,2,494,274,11,-8,1
5,3,501,269,7,-5,1
5,4,502,264,1,-5,1
5,5,499,260,-3,-4,1
5,6,501,264,2,4,1
5,7,502,252,1,-12,1
5,8,502,232,0,-20,1
5,9,497,231,-5,-1,1
5,10,489,221,-8,-10,1
5,11,487,232,-2,11,1
5,12,480,223,-7,-9,1
5,13,475,222,-5,-1,1
5,14,467,210,-8,-12,1
5,15,461,200,-6,-10,1
5,16,459,194,-2,-6,1
5,17,472,187,13,-7,1
5,18,492,187,20,0,1
5,19,507,187,15,0,1
5,20,500,189,-7,2,1
6,0,490,208,0,0,1
6,1,491,205,1,-3,1
6,2,487,199,-4,-6,1
6,3,487,196,0,-3,1
6,4,478,192,-9,-4,1
6,5,479,192,1,0,1
6,6,483,192,4,0,1
6,7,485,188,2,-4,1
6,8,493,188,8,0,1
6,9,494,186,1,-2,1
6,10,499,180,5,-6,1
6,11,506,177,7,-3,1
7,0,336,202,0,0,2
7,1,339,203,3,1,2
7,2,335,202,-4,-1,2
7,3,336,202,1,0,2
7,4,336,204,0,2,2
7,5,335,204,-1,0,2
7,6,335,204,0,0,2
7,7,329,204,-6,0,2
7,8,329,200,0,-4,2
7,9,332,204,3,4,2
7,10,329,204,-3,0,2
7,11,324,207,-5,3,2
7,12,322,210,-2,3,2
7,13,331,212,9,2,2
7,14,325,219,-6,7,2
7,15,328,216,3,-3,1
7,16,326,218,-2,2,1
7,17,327,221,1,3,1
7,18,333,219,6,-2,1
7,19,341,221,8,2,1
7,20,322,241,-19,20,2
7,21,317,262,-5,21,2
7,22,311,278,-6,16,3
7,23,307,285,-4,7,3
7,24,307,286,0,1,2
7,25,307,287,0,1,2
7,26,307,296,0,9,2
7,27,307,303,0,7,3
7,28,297,307,-10,4,3
7,29,294,314,-3,7,3
7,30,292,322,-2,8,2
7,31,295,335,3,13,2
7,32,297,338,2,3,2
7,33,302,339,5,1,2
7,34,296,342,-6,3,2
7,35,292,343,-4,1,2
7,36,286,343,-6,0,2
7,37,295,342,9,-1,2
7,38,291,344,-4,2,2
7,39,296,348,5,4,2
7,40,294,352,-2,4,2
7,41,303,362,9,10,1
7,42,313,356,10,-6,1
7,43,306,353,-7,-3,1
7,44,308,354,2,1,1
7,45,310,370,2,16,1
7,46,304,391,-6,21,1
7,47,309,385,5,-6,2
7,48,311,378,2,-7,2
7,49,317,378,6,0,2
7,50,308,381,-9,3,2
7,51,314,388,6,7,2
7,52,324,390,10,2,2
7,53,326,388,2,-2,2
7,54,340,388,14,0,2
7,55,319,398,-21,10,2
7,56,325,397,6,-1,2
7,57,329,397,4,0,2
7,58,324,395,-5,-2,2
7,59,321,400,-3,5,2
7,60,308,405,-13,5,2
7,61,303,405,-5,0,2
7,62,307,405,4,0,2
7,63,311,401,4,-4,2
7,64,306,399,-5,-2,2
7,65,304,398,-2,-1,2
7,66,305,398,1,0,2
7,67,309,399,4,1,1
7,68,308,402,-1,3,1
7,69,306,401,-2,-1,1
7,70,305,398,-1,-3,1
7,71,305,398,0,0,1
7,72,301,394,-4,-4,1
7,73,301,391,0,-3,1
7,74,305,389,4,-2,1
7,75,298,387,-7,-2,2
7,76,300,387,2,0,2
7,77,302,387,2,0,2
7,78,299,381,-3,-6,2
7,79,294,378,-5,-3,1
7,80,286,377,-8,-1,2
7,81,269,378,-17,1,2
7,82,262,379,-7,1,2
7,83,273,377,11,-2,2
7,84,271,379,-2,2,2
7,85,276,382,5,3,2
7,86,278,378,2,-4,2
7,87,273,377,-5,-1,4
7,88,267,377,-6,0,4
8,0,417,175,0,0,1
8,1,413,172,-4,-3,1
8,2,425,175,12,3,1
8,3,440,179,15,4,1
8,4,433,179,-7,0,1
8,5,443,176,10,-3,1
8,6,461,170,18,-6,1
8,7,470,169,9,-1,1
8,8,484,168,14,-1,1
8,9,479,162,-5,-6,1
8,10,477,154,-2,-8,1
8,11,480,148,3,-6,1
8,12,488,145,8,-3,1
8,13,483,152,-5,7,1
8,14,485,155,2,3,1
8,15,486,160,1,5,1
8,16,483,158,-3,-2,1
8,17,481,157,-2,-1,1
8,18,472,157,-9,0,1
8,19,476,166,4,9,1
8,20,482,170,6,4,1
8,21,486,187,4,17,1
8,22,492,197,6,10,1
8,23,495,196,3,-1,1
8,24,500,196,5,0,1
8,25,506,210,6,14,1
8,26,509,218,3,8,1
8,27,510,218,1,0,1
9,0,377,164,0,0,1
9,1,379,165,2,1,1
9,2,379,165,0,0,1
9,3,375,163,-4,-2,1
9,4,366,161,-9,-2,1
9,5,364,156,-2,-5,1
9,6,364,155,0,-1,1
9,7,358,151,-6,-4,1
9,8,361,151,3,0,1
9,9,368,164,7,13,1
9,10,367,157,-1,-7,1
9,11,367,154,0,-3,1
9,12,368,156,1,2,1
9,13,368,156,0,0,1
9,14,376,166,8,10,1
9,15,382,172,6,6,1
9,16,383,173,1,1,1
9,17,385,173,2,0,1
9,18,385,179,0,6,1
9,19,388,183,3,4,1
9,20,379,172,-9,-11,1
9,21,388,155,9,-17,1
9,22,386,148,-2,-7,1
9,23,374,147,-12,-1,1
9,24,377,141,3,-6,1
9,25,378,136,1,-5,1
9,26,378,141,0,5,1
9,27,388,146,10,5,1
9,28,401,144,13,-2,1
9,29,418,132,17,-12,1
9,30,435,128,17,-4,1
9,31,428,117,-7,-11,1
9,32,421,115,-7,-2,1
9,33,430,115,9,0,1
9,34,437,123,7,8,1
9,35,431,118,-6,-5,1
9,36,435,117,4,-1,1
9,37,421,123,-14,6,1
9,38,423,123,2,0,1
9,39,425,113,2,-10,1
9,40,426,110,1,-3,1
9,41,433,115,7,5,1
9,42,430,115,-3,0,1
9,43,434,111,4,-4,1
9,44,436,118,2,7,1
9,45,441,121,5,3,1
9,46,442,126,1,5,1
9,47,440,122,-2,-4,2
9,48,440,122,0,0,2
9,49,441,123,1,1,2
9,50,441,123,0,0,2
9,51,442,123,1,0,2
9,52,447,121,5,-2,2
9,53,444,135,-3,14,2
9,54,454,128,10,-7,2
9,55,443,141,-11,13,2
9,56,450,136,7,-5,2
9,57,456,132,6,-4,2
9,58,439,129,-17,-3,2
9,59,433,122,-6,-7,2
9,60,440,126,7,4,2
9,61,448,130,8,4,2
9,62,449,132,1,2,2
9,63,452,133,3,1,2
9,64,451,121,-1,-12,2
9,65,449,121,-2,0,2
9,66,449,126,0,5,2
9,67,452,128,3,2,1
9,68,443,134,-9,6,1
9,69,437,138,-6,4,1
9,70,451,146,14,8,1
9,71,454,138,3,-8,1
9,72,444,141,-10,3,1
9,73,455,135,11,-6,1
9,74,456,136,1,1,1
9,75,457,141,1,5,2
9,76,457,147,0,6,2
9,77,455,148,-2,1,2
9,78,452,148,-3,0,2
9,79,443,141,-9,-7,1
9,80,449,137,6,-4,1
9,81,451,146,2,9,1
9,82,450,139,-1,-7,1
9,83,457,135,7,-4,1
9,84,459,144,2,9,1
9,85,476,150,17,6,1
9,86,504,152,28,2,1
9,87,504,149,0,-3,2
9,88,503,147,-1,-2,2
10,0,400,153,0,0,1
10,1,400,149,0,-4,1
10,2,416,150,16,1,1
10,3,416,152,0,2,1
10,4,409,152,-7,0,1
10,5,411,152,2,0,1
10,6,420,153,9,1,1
10,7,422,157,2,4,1
10,8,420,164,-2,7,1
10,9,424,168,4,4,1
10,10,416,171,-8,3,1
10,11,423,173,7,2,1
10,12,425,174,2,1,1
10,13,432,176,7,2,1
10,14,419,188,-13,12,1
10,15,427,187,8,-1,1
10,16,429,187,2,0,1
10,17,432,185,3,-2,1
10,18,427,181,-5,-4,1
10,19,417,179,-10,-2,1
10,20,410,181,-7,2,1
10,21,410,182,0,1,1
10,22,419,182,9,0,1
10,23,414,193,-5,11,1
10,24,409,179,-5,-14,1
10,25,411,177,2,-2,1
10,26,421,180,10,3,1
10,27,428,183,7,3,1
10,28,444,194,16,11,1
10,29,445,195,1,1,1
10,30,443,199,-2,4,1
11,0,357,136,0,0,1
11,1,359,140,2,4,1
11,2,363,138,4,-2,1
11,3,367,137,4,-1,1
11,4,357,134,-10,-3,1
11,5,359,133,2,-1,1
11,6,360,131,1,-2,1
11,7,365,128,5,-3,1
11,8,369,124,4,-4,1
11,9,375,124,6,0,1
11,10,375,132,0,8,1
11,11,373,130,-2,-2,1
11,12,373,129,0,-1,1
11,13,373,127,0,-2,1
11,14,376,129,3,2,1
11,15,369,157,-7,28,1
11,16,376,152,7,-5,1
11,17,360,164,-16,12,1
11,18,366,165,6,1,1
11,19,365,171,-1,6,1
11,20,359,187,-6,16,1
11,21,360,163,1,-24,1
11,22,359,160,-1,-3,1
11,23,352,147,-7,-13,1
11,24,345,152,-7,5,1
11,25,350,148,5,-4,1
